Token,Symbol
2514,OSWALAGRO
2531,CONTI
2535,PGHH
2562,HUHTAMAKI
2595,3PLAND
2598,AMJLAND
2599,PARTYCRUS
2606,LEMONTREE
2614,HERANBA
2616,SEAMECLTD
2643,PFIZER
2645,DRCSYSTEMS
2649,PCBL
2664,PIDILITIND
2666,VERA
2687,POLYPLEX
2705,PRAJIND
2708,PRAKASH
2709,MTARTECH
2716,BUTTERFLY
2717,PRECWIRE
2739,PRSMJOHNSN
2783,JUBLINGREA
2792,EASEMYTRIP
2794,RSWM
2799,CHEMFAB
2809,RAJSREESUG
2816,RALLIS
2820,ARVEE
2829,ANURAS
2837,RANASUG
2839,MAHICKRA
2841,LXCHEM
2844,RANEHOLDIN
2854,CRAFTSMAN
2859,RAYMOND
2866,RCF
2868,HITECH
2885,RELIANCE
2909,RICOAUTO
2912,RIIL
2939,RUBYMILLS
2955,KALYANKJIL
2963,SAIL
2969,SAKHTISUG
2970,SURYODAY
2972,ORIENTELEC
2979,ORTINLAB
2987,NAZARA
2988,SANDESH
2997,SANGHIIND
2998,SUVIDHAA
3002,WONDERLA
3009,KOHINOOR
3018,SAURASHCEM
3021,SOTL
3024,JINDALSAW
3045,SBIN
3048,SCI
3063,VEDL
3066,SESHAPAPER
3078,SHANTIGEAR
3088,INDOSTAR
3099,SHREDIGCEM
3103,SHREECEM
3126,SHREYANIND
3127,BARBEQUE
3129,SHREYAS
3138,HONDAPOWER
3148,SIDDHIKA
3149,BORORENEW
3150,SIEMENS
3186,SKFINDIA
3188,VMARCIND
3220,LODHA
3237,JTEKTINDIA
3251,NITIRAJ
3252,SPIC
3273,SRF
3275,TEMBO
3291,STARPAPER
3292,DEEPINDS
3321,SPMLINFRA
3324,SUBROS
3325,MODISONLTD
3327,SUDARSCHEM
3329,ISGEC
3339,SUNDARMFIN
3345,SUNDRMFAST
3348,SUNFLAG
3351,SUNPHARMA
3363,SUPREMEIND
3375,SURYAROSNI
3384,SWARAJENG
3387,SMLISUZU
3389,AGARIND
3396,TAINWALCHM
3403,AJOONI
3405,TATACHEM
3411,TATAELXSI
3417,HONAUT
3426,TATAPOWER
3432,TATACONSUM
3435,BBOX
3456,TATAMOTORS
3466,TFCILTD
3475,THERMAX
3481,THOMASCOOK
3482,CLSEL
3496,TIRUMALCHM
3499,TATASTEEL
3506,TITAN
3509,TNPETRO
3518,TORNTPHARM
3546,TTKPRESTIG
3553,EQUIPPP
3563,ADANIGREEN
3570,UCAL
3579,UNICHEMLAB
3595,MOKSH
3607,UNIVCABLES
3637,JUBLPHARMA
3646,VARDMNPOLY
3672,SOLARA
3676,VESUVIUS
3694,VINDHYATEL
3699,GAYAHWS
3703,VIPIND
3715,VLSFINANCE
3718,VOLTAS
3721,TATACOMM
3724,VSTIND
3727,ANMOL
3736,WALCHANNAG
3744,FINEORG
3748,WEIZMANIND
3757,VENKEYS
3761,RITES
3766,WHEELS
3772,WILLAMAGOR
3787,WIPRO
3788,IWEL
3799,WSTCSTPAPR
3807,VINEETLAB
3812,ZEEL
3813,ARIHANTCAP
3821,ZODIACLOTH
3827,ZUARIIND
3834,BHARATRAS
3837,TOKYOPLAST
3857,VARROC
3880,SOMANYCERA
3892,HATSUN
3901,BRIGHT
3906,CAPLIPOINT
3908,PREMIERPOL
3912,KHAITANLTD
3918,NATCOPHARM
3950,JAKHARIA
3963,GOCLCORP
3965,REMSONSIND
3980,TNPL
3987,GREENPLY
4007,CORALFINAC
4010,PVP
4014,NAVA
4037,AUSOMENT
4040,EIMCOELECO
4041,JAYAGROGN
4055,PANACEABIO
4067,MARICO
4083,AMBANIORG
4105,SILINV
4116,HBSL
4136,BIOFILCHEM
4160,NORBTEAEXP
4172,TCNSBRANDS
4176,ZENITHEXPO
4179,SUNDRMBRAK
4184,SANGAMIND
4204,MOTHERSON
4212,UCL
4221,VISAKAIND
4235,WENDT
4244,HDFCAMC
4279,DENORA
4294,BDR
4299,STERTOOLS
4306,SHRIRAMFIN
4344,PUNJABCHEM
4391,GULFOILLUB
4394,MIRZAINT
4410,JAGSNPHARM
